nohup: ignoring input
 INFO  Accepting connections at http://localhost:8081
 HTTP  1/15/2026 3:31:53 AM 10.90.115.1 GET /
 HTTP  1/15/2026 3:31:53 AM 10.90.115.1 GET /
 HTTP  1/15/2026 3:31:53 AM 10.90.115.1 Returned 200 in 19 ms
 HTTP  1/15/2026 3:31:53 AM 10.90.115.1 Returned 200 in 5 ms
 HTTP  1/15/2026 3:31:53 AM 10.90.115.1 GET /
 HTTP  1/15/2026 3:31:53 AM 10.90.115.1 Returned 200 in 1 ms
 HTTP  1/15/2026 3:31:56 AM 10.90.115.1 GET /
 HTTP  1/15/2026 3:31:56 AM 10.90.115.1 Returned 200 in 2 ms
 HTTP  1/15/2026 3:31:56 AM 10.90.115.1 GET /
 HTTP  1/15/2026 3:31:56 AM 10.90.115.1 Returned 200 in 1 ms
 HTTP  1/15/2026 3:31:56 AM 10.90.115.1 GET /
 HTTP  1/15/2026 3:31:56 AM 10.90.115.1 Returned 200 in 1 ms
 HTTP  1/15/2026 3:31:56 AM 10.90.115.1 GET /
 HTTP  1/15/2026 3:31:56 AM 10.90.115.1 Returned 200 in 1 ms
 HTTP  1/15/2026 3:31:56 AM 10.90.115.1 GET /
 HTTP  1/15/2026 3:31:56 AM 10.90.115.1 Returned 200 in 1 ms
 HTTP  1/15/2026 3:31:56 AM 10.90.115.1 GET /
 HTTP  1/15/2026 3:31:56 AM 10.90.115.1 Returned 200 in 2 ms
 HTTP  1/15/2026 3:31:56 AM 10.90.115.1 GET /
 HTTP  1/15/2026 3:31:56 AM 10.90.115.1 Returned 200 in 1 ms
 HTTP  1/15/2026 3:31:59 AM 10.90.115.1 GET /
 HTTP  1/15/2026 3:31:59 AM 10.90.115.1 Returned 200 in 1 ms
 HTTP  1/15/2026 3:31:59 AM 10.90.115.1 GET /assets/index-Cx2QiRVO.js
 HTTP  1/15/2026 3:31:59 AM 10.90.115.1 Returned 200 in 3 ms
 HTTP  1/15/2026 3:31:59 AM 10.90.115.1 GET /assets/index-C5c7GDe_.css
 HTTP  1/15/2026 3:31:59 AM 10.90.115.1 Returned 200 in 1 ms
 HTTP  1/15/2026 3:32:05 AM 10.90.115.1 HEAD /
 HTTP  1/15/2026 3:32:05 AM 10.90.115.1 Returned 200 in 2 ms
 HTTP  1/15/2026 3:32:05 AM 10.90.115.1 GET /
 HTTP  1/15/2026 3:32:05 AM 10.90.115.1 Returned 200 in 1 ms
 HTTP  1/15/2026 3:32:05 AM 10.90.115.1 GET /
 HTTP  1/15/2026 3:32:05 AM 10.90.115.1 Returned 200 in 2 ms
 HTTP  1/15/2026 3:32:06 AM 10.90.115.1 GET /assets/index-C5c7GDe_.css
 HTTP  1/15/2026 3:32:06 AM 10.90.115.1 Returned 200 in 1 ms
 HTTP  1/15/2026 3:32:06 AM 10.90.115.1 GET /assets/index-Cx2QiRVO.js
 HTTP  1/15/2026 3:32:06 AM 10.90.115.1 Returned 200 in 1 ms
 HTTP  1/15/2026 3:32:06 AM 10.90.115.1 GET /assets/hero-inclusive-leadership-CzJPfDIn.jpg
 HTTP  1/15/2026 3:32:06 AM 10.90.115.1 Returned 200 in 2 ms
 HTTP  1/15/2026 3:40:22 AM 10.90.115.1 GET /?locale=en
 HTTP  1/15/2026 3:40:22 AM 10.90.115.1 Returned 200 in 1 ms
 HTTP  1/15/2026 3:40:22 AM 10.90.115.1 GET /assets/index-Cx2QiRVO.js
 HTTP  1/15/2026 3:40:22 AM 10.90.115.1 GET /assets/index-C5c7GDe_.css
 HTTP  1/15/2026 3:40:22 AM 10.90.115.1 Returned 200 in 1 ms
 HTTP  1/15/2026 3:40:22 AM 10.90.115.1 Returned 200 in 1 ms
 HTTP  1/15/2026 3:40:23 AM 10.90.115.1 GET /assets/hero-inclusive-leadership-CzJPfDIn.jpg
 HTTP  1/15/2026 3:40:23 AM 10.90.115.1 Returned 200 in 1 ms
 HTTP  1/15/2026 3:41:30 AM 10.90.115.1 GET /
 HTTP  1/15/2026 3:41:30 AM 10.90.115.1 Returned 200 in 0 ms
 HTTP  1/15/2026 3:41:30 AM 10.90.115.1 GET /assets/index-Cx2QiRVO.js
 HTTP  1/15/2026 3:41:30 AM 10.90.115.1 Returned 200 in 1 ms
 HTTP  1/15/2026 3:41:30 AM 10.90.115.1 GET /assets/index-C5c7GDe_.css
 HTTP  1/15/2026 3:41:30 AM 10.90.115.1 Returned 200 in 1 ms
 HTTP  1/15/2026 3:41:31 AM 10.90.115.1 GET /assets/hero-inclusive-leadership-CzJPfDIn.jpg
 HTTP  1/15/2026 3:41:31 AM 10.90.115.1 Returned 200 in 1 ms
 HTTP  1/15/2026 3:41:31 AM 10.90.115.1 GET /favicon.ico
 HTTP  1/15/2026 3:41:31 AM 10.90.115.1 Returned 200 in 2 ms
